Kod,Nazwa kategorii klas obiektów ,Kod,Nazwa klasy obiektów,Kod,Nazwa obiektu
SW,sieć wodna,SWRS,rzeka i strumień,SWRS01,rzeka
SW,sieć wodna,SWRS,rzeka i strumień,SWRS02,"strumień, potok lub struga "
SW,sieć wodna,SWKN,kanał,SWKN01,kanał 
SW,sieć wodna,SWRM,rów melioracyjny,SWRM01,rów melioracyjny zbiorczy 
SW,sieć wodna,SWRM,rów melioracyjny,SWRM02,rów melioracyjny zwykły
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ01,jezdnia autostrady
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ02,jezdnia drogi ekspresowej
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ03,jezdnia drogi głównej ruchu przyśpieszonego
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ04,jezdnia drogi głównej
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ05,jezdnia drogi zbiorczej
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ06,jezdnia drogi lokalnej
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ07,jezdnia drogi dojazdowej
SK,sieć komunikacyjna ,SKJZ,jezdnia,SKJZ08,jezdnia drogi innej
SK,sieć komunikacyjna ,SKDR,droga,SKDR01,autostrada
SK,sieć komunikacyjna ,SKDR,droga,SKDR02,droga ekspresowa
SK,sieć komunikacyjna ,SKDR,droga,SKDR03,droga główna ruchu przyśpieszonego 
SK,sieć komunikacyjna ,SKDR,droga,SKDR04,droga główna
SK,sieć komunikacyjna ,SKDR,droga,SKDR05,droga zbiorcza
SK,sieć komunikacyjna ,SKDR,droga,SKDR06,droga lokalna
SK,sieć komunikacyjna ,SKDR,droga,SKDR07,droga dojazdowa
SK,sieć komunikacyjna ,SKDR,droga,SKDR08,droga inna
SK,sieć komunikacyjna ,SKRW,rondo i węzeł drogowy,SKRW01,rondo
SK,sieć komunikacyjna ,SKRW,rondo i węzeł drogowy,SKRW02,węzełdrogowy
SK,sieć komunikacyjna ,SKRP,ciąg ruchu pieszego i rowerowego,SKRP01,alejka
SK,sieć komunikacyjna ,SKRP,ciąg ruchu pieszego i rowerowego,SKRP02,pasaż
